step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
43,PAYMENT,4951.41,C701750684,177098.0,172146.59,M2096831941,0.0,0.0,0,0
43,PAYMENT,6200.76,C960090320,172146.59,165945.83,M772030307,0.0,0.0,0,0
43,PAYMENT,430.32,C428615682,165945.83,165515.51,M1035799491,0.0,0.0,0,0
43,CASH_IN,17416.22,C1257628660,141.0,17557.22,C94755739,20061.51,2645.29,0,0
43,TRANSFER,311109.12,C1166353134,33352.0,0.0,C1393744220,1024300.6,1335409.73,0,0
43,CASH_OUT,150120.83,C1026678372,16640.0,0.0,C1693760996,940732.77,858580.01,0,0
43,PAYMENT,1024.4,C1745299730,0.0,0.0,M227057061,0.0,0.0,0,0
43,PAYMENT,13587.05,C1635142824,19925.0,6337.95,M1376218140,0.0,0.0,0,0
43,PAYMENT,2370.44,C60395767,55284.0,52913.56,M1245008020,0.0,0.0,0,0
43,TRANSFER,20382.85,C427116150,52913.56,32530.71,C640116902,93677.17,114060.02,0,0
43,CASH_OUT,398713.87,C1887153864,11308.0,0.0,C192495039,9512.81,408226.68,0,0
43,CASH_OUT,46509.23,C1059755544,0.0,0.0,C1377194794,9440413.52,9493009.18,0,0
43,PAYMENT,12674.39,C1601949849,22171.0,9496.61,M1821277174,0.0,0.0,0,0
43,PAYMENT,8953.87,C1093571905,9496.61,542.75,M719274282,0.0,0.0,0,0
43,CASH_IN,25603.58,C723629040,48358.0,73961.58,C1131308631,3566360.34,3540756.77,0,0
43,CASH_IN,163065.15,C879705257,266359.0,429424.15,C412849153,73936.47,0.0,0,0
43,TRANSFER,128275.33,C22950904,429424.15,301148.82,C473853547,221002.32,349277.65,0,0
43,PAYMENT,23678.93,C1373172968,508.0,0.0,M2009101072,0.0,0.0,0,0
43,PAYMENT,12451.96,C981963573,0.0,0.0,M1253484142,0.0,0.0,0,0
43,PAYMENT,27861.93,C1549759588,89.0,0.0,M687068172,0.0,0.0,0,0
43,CASH_IN,156683.83,C787211292,16812.0,173495.83,C1188227832,0.0,0.0,0,0
43,CASH_OUT,14126.27,C1360110201,173495.83,159369.56,C298512902,2892135.59,2906261.86,0,0
43,PAYMENT,22630.52,C1984565355,82145.0,59514.48,M1076885786,0.0,0.0,0,0
43,CASH_OUT,445466.35,C823475719,105621.0,0.0,C528381695,0.0,445466.35,0,0
43,PAYMENT,12400.77,C1833648182,12176.0,0.0,M1269095612,0.0,0.0,0,0
43,PAYMENT,742.84,C1954286587,0.0,0.0,M1820456565,0.0,0.0,0,0
43,CASH_IN,46836.22,C1534873891,42355.0,89191.22,C1027692837,2512408.17,2465571.95,0,0
43,CASH_OUT,69381.56,C919611340,21122.0,0.0,C1544421489,929733.64,999115.19,0,0
43,TRANSFER,701759.43,C585613630,79293.0,0.0,C328285138,0.0,701759.43,0,0
43,CASH_IN,230692.29,C1094105417,1151.0,231843.29,C297102436,70180.0,0.0,0,0
43,PAYMENT,8410.66,C2021264645,231843.29,223432.63,M1336130433,0.0,0.0,0,0
