step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
8,PAYMENT,1550.13,C144842093,209999.64,208449.51,M310025816,0.0,0.0,0,0
8,PAYMENT,2825.67,C1260571453,208449.51,205623.83,M222294228,0.0,0.0,0,0
8,CASH_IN,353769.62,C359583083,15462.0,369231.62,C1062374131,161.0,0.0,0,0
8,CASH_OUT,109694.9,C1394612672,8247637.0,8137942.1,C912252532,318681.9,1458014.94,0,0
8,TRANSFER,501352.31,C235297722,8137942.1,7636589.79,C1567808902,1827614.92,3431212.42,0,0
8,TRANSFER,1034484.15,C2085463038,7636589.79,6602105.64,C635281078,1581366.73,2615850.88,0,0
8,TRANSFER,438751.96,C522927241,6602105.64,6163353.68,C244095956,592962.02,1720234.96,0,0
8,TRANSFER,1145183.56,C1276561589,6163353.68,5018170.12,C2032924554,6561493.61,8171413.33,0,0
8,TRANSFER,376786.71,C1886486790,5018170.12,4641383.41,C1698593276,1191888.4,2223515.09,0,0
8,TRANSFER,820697.99,C1630703269,4641383.41,3820685.42,C268402121,1955672.96,2648936.13,0,0
8,TRANSFER,345444.43,C666581374,3820685.42,3475240.99,C2090186380,2275943.31,2565465.84,0,0
8,TRANSFER,634341.87,C1569853020,3475240.99,2840899.12,C1757533511,1751951.03,4798874.27,0,0
8,TRANSFER,949467.14,C555208025,2840899.12,1891431.98,C1515979807,12159070.41,13758312.04,0,0
8,TRANSFER,41973.92,C1420114040,1891431.98,1849458.06,C489712935,3463421.36,3505395.28,0,0
8,TRANSFER,417012.21,C707496795,1849458.06,1432445.84,C1816986148,6313981.93,7679197.62,0,0
8,TRANSFER,332459.46,C1728483500,1432445.84,1099986.39,C1220911229,2261741.99,2720725.93,0,0
8,TRANSFER,398049.16,C2019877904,1099986.39,701937.22,C26334874,3427417.14,4290540.04,0,0
8,TRANSFER,289469.26,C92239260,701937.22,412467.96,C1745096940,3323138.34,6746103.64,0,0
8,TRANSFER,405419.06,C1945655099,412467.96,7048.9,C5554526,715372.28,1346734.26,0,0
8,TRANSFER,75104.98,C539507224,7048.9,0.0,C1634190383,323327.96,557904.56,0,0
8,TRANSFER,361047.31,C2134052457,0.0,0.0,C739289034,490027.7,955482.26,0,0
8,PAYMENT,4179.91,C18765702,30196.0,26016.09,M812554513,0.0,0.0,0,0
8,PAYMENT,10047.61,C1366793726,3978099.05,3968051.44,M911245823,0.0,0.0,0,0
8,PAYMENT,1138.62,C1157714644,3968051.44,3966912.82,M31714676,0.0,0.0,0,0
8,PAYMENT,23116.37,C1813387483,3966912.82,3943796.45,M1585132511,0.0,0.0,0,0
8,PAYMENT,26032.68,C295918902,3943796.45,3917763.77,M255171131,0.0,0.0,0,0
8,PAYMENT,6835.1,C1396280262,3917763.77,3910928.67,M1415298997,0.0,0.0,0,0
8,PAYMENT,4882.29,C1595544293,3910928.67,3906046.38,M2086518655,0.0,0.0,0,0
8,PAYMENT,8680.53,C1663401097,3906046.38,3897365.85,M1779093839,0.0,0.0,0,0
8,PAYMENT,15321.85,C1695050705,3897365.85,3882044.0,M1958712904,0.0,0.0,0,0
8,PAYMENT,7930.58,C1018592610,3882044.0,3874113.42,M676626,0.0,0.0,0,0
8,PAYMENT,5891.19,C653977121,3874113.42,3868222.24,M788474208,0.0,0.0,0,0
8,PAYMENT,26774.44,C556600496,3868222.24,3841447.8,M1944934724,0.0,0.0,0,0
8,PAYMENT,7163.65,C39285494,3841447.8,3834284.15,M1437921269,0.0,0.0,0,0
8,PAYMENT,9270.4,C481632639,3834284.15,3825013.75,M93027540,0.0,0.0,0,0
8,PAYMENT,2619.56,C1022525009,3825013.75,3822394.2,M1321985405,0.0,0.0,0,0
8,PAYMENT,9358.17,C2076216066,3822394.2,3813036.02,M636691826,0.0,0.0,0,0
8,PAYMENT,21698.33,C182241131,3813036.02,3791337.69,M455949120,0.0,0.0,0,0
8,PAYMENT,11531.2,C1682582460,3791337.69,3779806.49,M1487817458,0.0,0.0,0,0
8,PAYMENT,1295.8,C874854675,184532.58,183236.78,M1176564716,0.0,0.0,0,0
8,CASH_OUT,397143.57,C1929525087,183236.78,0.0,C1929496638,2766560.51,3036913.78,0,0
8,PAYMENT,14062.31,C1506871831,420.0,0.0,M1143037343,0.0,0.0,0,0
8,CASH_OUT,177511.76,C90138980,6170.0,0.0,C1514834483,0.0,550806.69,0,0
8,PAYMENT,3570.82,C1728388703,1087.0,0.0,M919941402,0.0,0.0,0,0
8,PAYMENT,8889.29,C2027311098,31741.0,22851.71,M104603085,0.0,0.0,0,0
8,CASH_IN,331430.78,C1225006259,17182.14,348612.92,C441129646,0.0,0.0,0,0
8,PAYMENT,20800.06,C1447471464,348612.92,327812.86,M472225221,0.0,0.0,0,0
8,CASH_OUT,282233.69,C2056331769,105453.0,0.0,C16880623,70347.0,46719.97,0,0
8,PAYMENT,2460.46,C320428956,166427.0,163966.54,M1886891390,0.0,0.0,0,0
8,CASH_IN,352594.39,C1078756616,425085.65,777680.04,C1447133976,0.0,0.0,0,0
8,CASH_OUT,217400.35,C866253329,777680.04,560279.69,C980380973,728855.72,916866.6,0,0
8,CASH_IN,79469.36,C1782415938,1178577.89,1258047.24,C2107268831,623377.01,710762.84,0,0
8,CASH_OUT,368316.83,C661442086,1258047.24,889730.41,C932583850,9546432.01,9914748.84,0,0
8,CASH_OUT,24621.02,C53242630,44815.0,20193.98,C9108707,1323038.93,1487130.96,0,0
8,PAYMENT,453.58,C1063348224,789.0,335.42,M969462332,0.0,0.0,0,0
8,PAYMENT,747.21,C2022975197,61063.0,60315.79,M411047570,0.0,0.0,0,0
8,PAYMENT,3910.46,C747982058,12969.0,9058.54,M1395864182,0.0,0.0,0,0
8,PAYMENT,11163.03,C180900867,9986.0,0.0,M308602702,0.0,0.0,0,0
8,CASH_OUT,4044.19,C344988660,102379.0,98334.81,C1731643198,121011.45,125055.64,0,0
8,CASH_OUT,157674.95,C1593453458,20976.0,0.0,C1084435493,17125.85,174800.8,0,0
8,PAYMENT,334.65,C383386626,195.0,0.0,M590466816,0.0,0.0,0,0
8,CASH_IN,253541.37,C929705769,242656.13,496197.5,C869107435,46.0,0.0,0,0
8,PAYMENT,1282.11,C943924461,496197.5,494915.39,M2122305011,0.0,0.0,0,0
8,PAYMENT,7229.17,C1394300147,6355.0,0.0,M904805086,0.0,0.0,0,0
8,PAYMENT,14883.75,C346756290,0.0,0.0,M347821041,0.0,0.0,0,0
8,PAYMENT,7337.19,C487465305,0.0,0.0,M1500696812,0.0,0.0,0,0
8,PAYMENT,11108.38,C355717636,36495.8,25387.43,M1540960136,0.0,0.0,0,0
8,PAYMENT,36583.19,C934402371,25387.43,0.0,M2022410985,0.0,0.0,0,0
8,PAYMENT,6226.43,C1940116494,20293.0,14066.57,M1628700829,0.0,0.0,0,0
8,PAYMENT,13654.79,C1482073661,14066.57,411.78,M2091819804,0.0,0.0,0,0
8,PAYMENT,9224.2,C289413923,411.78,0.0,M1343349118,0.0,0.0,0,0
8,PAYMENT,6327.54,C1025229327,0.0,0.0,M874787059,0.0,0.0,0,0
8,CASH_OUT,59224.12,C632077399,0.0,0.0,C718806769,260063.0,175903.67,0,0
8,PAYMENT,9286.64,C2053743501,19773.0,10486.36,M427892085,0.0,0.0,0,0
8,CASH_OUT,337396.86,C213320990,622.0,0.0,C1266435158,0.0,337396.86,0,0
8,DEBIT,701.43,C1278824155,3254919.5,3254218.07,C1791561308,100411.0,168149.64,0,0
8,PAYMENT,10150.57,C2071718170,3254218.07,3244067.5,M1786784181,0.0,0.0,0,0
8,PAYMENT,19971.23,C1588284942,3244067.5,3224096.27,M1491242134,0.0,0.0,0,0
8,PAYMENT,14692.28,C2096471465,19192.0,4499.72,M391368195,0.0,0.0,0,0
8,DEBIT,2719.38,C319568345,143331.8,140612.41,C432744903,23104.22,46139.05,0,0
8,DEBIT,3160.24,C1598456082,140612.41,137452.17,C1570573927,31808.0,34968.24,0,0
8,PAYMENT,8624.43,C252598150,49167.0,40542.57,M103068594,0.0,0.0,0,0
8,CASH_IN,76899.31,C1955893342,83943.0,160842.31,C678476618,5803.0,0.0,0,0
8,CASH_IN,16043.91,C523358671,20910.0,36953.91,C1989511207,0.0,0.0,0,0
